user_id,product_id,count
290,196,2
2335,196,1
24609,196,1
48292,196,6
58311,196,1
72203,196,1
75304,196,1
89513,196,1
99132,196,1
110993,196,3
151292,196,1
161695,196,1
290,1181,2
11912,1181,2
60040,1181,5
72203,1181,7
75304,1181,1
95676,1181,1
97899,1181,20
151292,1181,33
155299,1181,2
161695,1181,2
181697,1181,5
290,2180,1
59979,2180,1
60040,2180,4
71839,2180,1
89513,2180,1
97899,2180,3
101141,2180,1
103142,2180,1
106161,2180,1
116571,2180,1
119078,2180,1
149399,2180,1
181209,2180,5
181697,2180,1
182401,2180,1
191198,2180,1
290,3298,3
69173,3298,4
103142,3298,2
110824,3298,2
133970,3298,1
161695,3298,4
180067,3298,1
181697,3298,4
197506,3298,13
290,3696,9
4694,3696,15
24609,3696,6
48292,3696,1
60259,3696,7
72203,3696,5
97899,3696,1
114060,3696,1
155299,3696,1
181209,3696,5
290,3990,1
4694,3990,6
53694,3990,4
60259,3990,1
88940,3990,3
110993,3990,3
111923,3990,1
159591,3990,2
161695,3990,1
185080,3990,5
290,5025,3
2335,5025,2
11912,5025,2
15124,5025,2
16274,5025,1
24609,5025,1
31310,5025,17
43758,5025,1
53694,5025,5
58311,5025,4
60040,5025,6
60425,5025,1
69173,5025,1
72203,5025,4
74840,5025,2
75304,5025,3
81140,5025,15
91925,5025,1
95676,5025,4
97899,5025,2
100414,5025,1
101141,5025,2
103142,5025,1
110993,5025,2
111923,5025,12
137311,5025,1
144889,5025,2
148812,5025,6
149399,5025,15
151292,5025,2
151378,5025,2
151994,5025,21
155299,5025,2
167069,5025,1
191198,5025,2
197759,5025,2
290,5047,1
4694,5047,2
24609,5047,3
48292,5047,1
53694,5047,1
60259,5047,2
111923,5047,2
114060,5047,3
116571,5047,1
136526,5047,1
191198,5047,1
290,5097,1
95676,5097,2
100414,5097,10
110824,5097,2
111923,5097,3
151994,5097,1
161695,5097,2
290,5385,1
15503,5385,3
32099,5385,1
89513,5385,1
99132,5385,1
110993,5385,16
159591,5385,6
290,7600,1
53694,7600,2
60040,7600,1
88940,7600,1
89513,7600,1
159591,7600,5
161695,7600,1
191198,7600,3
290,7644,1
4694,7644,1
48292,7644,1
60040,7644,1
60259,7644,3
89513,7644,5
94945,7644,1
99132,7644,1
103142,7644,1
149399,7644,2
159591,7644,4
161695,7644,1
185080,7644,4
197759,7644,3
290,7736,1
31310,7736,2
88940,7736,3
97899,7736,3
100414,7736,4
136526,7736,1
149399,7736,1
151994,7736,2
155299,7736,1
191198,7736,5
197506,7736,1
290,7751,1
2258,7751,2
11912,7751,2
31310,7751,2
32099,7751,1
33142,7751,1
48292,7751,2
60040,7751,4
65897,7751,10
72203,7751,1
75304,7751,2
88940,7751,1
89513,7751,3
94945,7751,1
97899,7751,2
100414,7751,1
111923,7751,1
114060,7751,1
129784,7751,2
143961,7751,2
147271,7751,2
151292,7751,2
151378,7751,2
161695,7751,1
181209,7751,2
181697,7751,6
191198,7751,1
197506,7751,1
290,8490,1
2258,8490,1
3830,8490,2
4694,8490,1
33142,8490,1
33731,8490,35
60694,8490,5
84047,8490,2
116255,8490,6
132872,8490,17
137311,8490,1
144148,8490,8
147271,8490,5
201268,8490,31
290,8536,2
11912,8536,1
48292,8536,2
53694,8536,10
100414,8536,11
110824,8536,1
114060,8536,1
133970,8536,6
151292,8536,13
151994,8536,2
181209,8536,5
191198,8536,1
197506,8536,1
290,8590,1
72203,8590,1
75304,8590,1
94945,8590,1
111923,8590,4
133970,8590,2
151292,8590,1
155299,8590,1
290,8744,1
11912,8744,6
60040,8744,1
88940,8744,1
97899,8744,10
103142,8744,1
110824,8744,1
111923,8744,1
114060,8744,2
181209,8744,3
290,9837,4
31310,9837,2
48292,9837,4
60040,9837,1
60259,9837,2
97899,9837,1
103142,9837,1
110993,9837,1
114060,9837,1
133970,9837,1
151292,9837,1
151994,9837,1
191198,9837,1
197506,9837,1
290,10673,1
15503,10673,2
24609,10673,5
32099,10673,1
33731,10673,26
48292,10673,8
89513,10673,13
95676,10673,1
99132,10673,3
100414,10673,1
101141,10673,2
111923,10673,2
114060,10673,3
116571,10673,1
155299,10673,1
181209,10673,7
181697,10673,9
196710,10673,1
197759,10673,4
290,11121,5
2335,11121,1
32099,11121,3
48292,11121,1
60040,11121,3
72203,11121,1
88940,11121,3
97899,11121,5
110824,11121,1
111923,11121,1
114060,11121,3
116571,11121,1
136526,11121,1
151994,11121,14
155299,11121,2
191198,11121,2
196710,11121,1
290,11422,1
4694,11422,1
15229,11422,2
33731,11422,23
69173,11422,15
99132,11422,4
103142,11422,2
106022,11422,1
106638,11422,1
108564,11422,6
109709,11422,1
147271,11422,1
149399,11422,3
151994,11422,2
152144,11422,1
161695,11422,1
196710,11422,2
201268,11422,15
290,12508,3
24609,12508,6
31310,12508,1
53694,12508,7
60259,12508,2
100414,12508,2
103142,12508,6
116571,12508,1
161695,12508,9
197506,12508,1
290,13176,1
2258,13176,6
3830,13176,19
4694,13176,22
5557,13176,10
11912,13176,1
15124,13176,2
15229,13176,5
15503,13176,13
21469,13176,4
23297,13176,2
25276,13176,11
